tab	measurements
citations	location	sample	site	specimen	experiment	instrument_codes	method_codes	magic_software_packages	dir_csd	dir_dec	description	quality	dir_inc	magn_moment	number	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_temp
This study	Puff Island	Puf1-4	Puf1-4	Puf1-4a	Puf1-4a:LP-DIR-T	hargrave 2016-05-02 14:30:53	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.7	288.7		g	 26.9 	8.59e-06	9	1	2.13e-07	8.22e-08	1.07e-07	u	273	0	0	0.00	-90.00	  748.0
This study	Puff Island	Puf1-4	Puf1-4	Puf1-4a	Puf1-4a:LP-DIR-T	hargrave 2016-05-02 20:54:56	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.0	287.5		g	 26.7 	8.13e-06	10	1	7.27e-08	7.59e-08	9.12e-08	u	273	0	0	0.00	-90.00	  773.0
This study	Puff Island	Puf1-4	Puf1-4	Puf1-4a	Puf1-4a:LP-DIR-T	hargrave 2016-05-03 19:49:29	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.0	289.3		g	 27.1 	7.69e-06	11	1	2.42e-07	8.35e-08	9.99e-08	u	273	0	0	0.00	-90.00	  798.0
This study	Puff Island	Puf1-4	Puf1-4	Puf1-4a	Puf1-4a:LP-DIR-T	hargrave 2016-05-12 15:28:40	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.0	289.0		g	 26.8 	7.20e-06	12	1	7.06e-08	6.90e-08	7.86e-08	u	273	0	0	0.00	-90.00	  823.0
This study	Puff Island	Puf1-4	Puf1-4	Puf1-4a	Puf1-4a:LP-DIR-T	hargrave 2016-05-16 13:08:41	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.3	289.0		g	 26.7 	6.76e-06	13	1	1.21e-07	7.75e-08	6.93e-08	u	273	0	0	0.00	-90.00	  833.0
This study	Puff Island	Puf1-4	Puf1-4	Puf1-4a	Puf1-4a:LP-DIR-T	hargrave 2016-05-16 19:09:31	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.1	288.9		g	 26.9 	6.39e-06	14	1	9.00e-08	5.59e-08	7.27e-08	u	273	0	0	0.00	-90.00	  843.0
This study	Puff Island	Puf1-4	Puf1-4	Puf1-4a	Puf1-4a:LP-DIR-T	hargrave 2016-05-17 15:26:33	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.0	290.4		g	 26.9 	6.10e-06	15	1	6.64e-08	5.93e-08	6.69e-08	u	273	0	0	0.00	-90.00	  848.0
This study	Puff Island	Puf1-4	Puf1-4	Puf1-4a	Puf1-4a:LP-DIR-T	hargrave 2016-05-18 12:18:30	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.2	289.9		g	 27.0 	5.83e-06	16	1	8.64e-08	5.93e-08	6.92e-08	u	273	0	0	0.00	-90.00	  853.0
This study	Puff Island	Puf1-5	Puf1-5	Puf1-5a	Puf1-5a:LP-DIR-T	hargrave 2016-04-08 17:33:52	LT-NO:LP-DIR-T	pmagpy-3.4.1	    2.1	269.2		g	 23.3 	6.95e-06	1	1	2.56e-07	1.32e-06	6.14e-07	u	273	0	0	0.00	-90.00	273
This study	Puff Island	Puf1-5	Puf1-5	Puf1-5a	Puf1-5a:LP-DIR-T	hargrave 2016-04-11 17:56:16	LT-LT-Z:LP-DIR-T	pmagpy-3.4.1	    0.9	268.3		g	 22.5 	8.30e-06	2	1	1.10e-07	5.70e-08	7.11e-08	u	273	0	0	0.00	-90.00	77
This study	Puff Island	Puf1-5	Puf1-5	Puf1-5a	Puf1-5a:LP-DIR-T	hargrave 2016-04-18 10:28:51	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    0.8	270.0		g	 22.6 	8.23e-06	3	1	8.26e-08	6.36e-08	6.41e-08	u	273	0	0	0.00	-90.00	  373.0
This study	Puff Island	Puf1-5	Puf1-5	Puf1-5a	Puf1-5a:LP-DIR-T	hargrave 2016-04-18 17:41:51	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    4.0	275.0		g	 20.6 	8.31e-06	4	1	5.77e-07	7.99e-08	7.73e-08	u	273	0	0	0.00	-90.00	  473.0
This study	Puff Island	Puf1-5	Puf1-5	Puf1-5a	Puf1-5a:LP-DIR-T	hargrave 2016-04-19 13:30:29	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.0	274.3		g	 19.8 	8.15e-06	5	1	1.11e-07	5.51e-08	8.18e-08	u	273	0	0	0.00	-90.00	  573.0
This study	Puff Island	Puf1-5	Puf1-5	Puf1-5a	Puf1-5a:LP-DIR-T	hargrave 2016-04-25 13:14:50	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.0	270.5		g	 19.9 	7.41e-06	6	1	6.45e-08	7.01e-08	1.01e-07	u	273	0	0	0.00	-90.00	  623.0
This study	Puff Island	Puf1-5	Puf1-5	Puf1-5a	Puf1-5a:LP-DIR-T	hargrave 2016-04-26 10:11:17	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.3	273.3		g	 20.2 	6.57e-06	7	1	1.24e-07	6.54e-08	6.60e-08	u	273	0	0	0.00	-90.00	  673.0
This study	Puff Island	Puf1-5	Puf1-5	Puf1-5a	Puf1-5a:LP-DIR-T	hargrave 2016-04-26 17:41:35	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.4	271.8		g	 19.5 	5.91e-06	8	1	2.41e-07	4.60e-08	6.45e-08	u	273	0	0	0.00	-90.00	  723.0
This study	Puff Island	Puf1-5	Puf1-5	Puf1-5a	Puf1-5a:LP-DIR-T	hargrave 2016-05-02 14:32:28	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    3.9	272.8		g	 18.9 	5.63e-06	9	1	3.82e-07	5.43e-08	5.92e-08	u	273	0	0	0.00	-90.00	  748.0
This study	Puff Island	Puf1-5	Puf1-5	Puf1-5a	Puf1-5a:LP-DIR-T	hargrave 2016-05-02 20:56:32	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.1	271.0		g	 19.2 	5.46e-06	10	1	8.36e-08	4.95e-08	4.47e-08	u	273	0	0	0.00	-90.00	  773.0
This study	Puff Island	Puf1-5	Puf1-5	Puf1-5a	Puf1-5a:LP-DIR-T	hargrave 2016-05-03 19:51:04	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.5	274.2		g	 19.3 	5.25e-06	11	1	1.28e-07	4.79e-08	4.64e-08	u	273	0	0	0.00	-90.00	  798.0
This study	Puff Island	Puf1-5	Puf1-5	Puf1-5a	Puf1-5a:LP-DIR-T	hargrave 2016-05-12 15:30:16	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    0.9	271.4		g	 19.1 	4.94e-06	12	1	5.03e-08	4.58e-08	4.45e-08	u	273	0	0	0.00	-90.00	  823.0
This study	Puff Island	Puf1-5	Puf1-5	Puf1-5a	Puf1-5a:LP-DIR-T	hargrave 2016-05-16 13:10:16	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.2	273.2		g	 19.2 	4.67e-06	13	1	1.74e-07	4.47e-08	4.05e-08	u	273	0	0	0.00	-90.00	  833.0
This study	Puff Island	Puf1-5	Puf1-5	Puf1-5a	Puf1-5a:LP-DIR-T	hargrave 2016-05-16 19:11:06	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.6	272.4		g	 19.3 	4.43e-06	14	1	1.17e-07	3.97e-08	3.93e-08	u	273	0	0	0.00	-90.00	  843.0
This study	Puff Island	Puf1-5	Puf1-5	Puf1-5a	Puf1-5a:LP-DIR-T	hargrave 2016-05-17 15:28:08	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.4	272.2		g	 19.2 	4.25e-06	15	1	9.05e-08	3.85e-08	3.82e-08	u	273	0	0	0.00	-90.00	  848.0
